label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
morse · mlp · distill to simple,2011,late,0.0,42,300049,0.0,0.0,0.9021790618753442,0.9021790618753442,0.0,0.9305053705908343,0.9305053705908343,0.0,0.8696791311971757,0.8696791311971757,0.0,0.6223261317731449,0.6223261317731449,0.0,0.08640939742326736,0.08640939742326736,0.0
morse · mlp · distill to simple,2011,late,0.0,42,300049,0.0,0.1,0.9021790618753442,0.9033693607272262,-0.0011902988518819324,0.9305053705908343,0.9301826602367198,0.0003227103541144638,0.8696791311971757,0.8693205900006227,0.0003585411965529861,0.6223261317731449,0.6185282674856165,-0.6102691327949572,0.08640939742326736,0.08496974408626556,-1.6660842222400993
morse · mlp · distill to simple,2011,late,0.0,42,300049,0.0,0.25,0.9021790618753442,0.9033176463955424,-0.0011385845201981049,0.9305053705908343,0.9276488582901715,0.00285651230066275,0.8696791311971757,0.8700169332105796,-0.0003378020134039428,0.6223261317731449,0.6186937558738385,-0.5836772254697044,0.08640939742326736,0.08484116196632385,-1.8148899352482175
morse · mlp · distill to simple,2126,late,0.0,42,300049,0.0,0.0,0.6765607806344067,0.6765607806344067,0.0,0.7447567519286562,0.7447567519286562,0.0,0.7332968344880002,0.7332968344880002,0.0,0.9825951717951239,0.9825951717951239,0.0,0.12995649874210358,0.12995649874210358,0.0
morse · mlp · distill to simple,2126,late,0.0,42,300049,0.0,0.1,0.6765607806344067,0.6812003654621572,-0.004639584827750509,0.7447567519286562,0.7441875667439593,0.000569185184696952,0.7332968344880002,0.7365123067665613,-0.0032154722785611156,0.9825951717951239,0.9755222809996192,-0.7198173773419878,0.12995649874210358,0.1318885236978531,1.4866705200973303
morse · mlp · distill to simple,2126,late,0.0,42,300049,0.0,0.25,0.6765607806344067,0.6804203259844388,-0.0038595453500320787,0.7447567519286562,0.736571046836747,0.00818570509190919,0.7332968344880002,0.7487715892702818,-0.015474754782281552,0.9825951717951239,0.9767150066270271,-0.5984321251400161,0.12995649874210358,0.15078018605709076,16.02358290393113
morse · mlp · distill to simple,5001,late,0.0,42,300049,0.0,0.0,0.34633669758616703,0.34633669758616703,0.0,0.4466340237504751,0.4466340237504751,0.0,0.24945295305747073,0.24945295305747073,0.0,3.5053561101311814,3.5053561101311814,0.0,0.7112583518028259,0.7112583518028259,0.0
morse · mlp · distill to simple,5001,late,0.0,42,300049,0.0,0.1,0.34633669758616703,0.3478980191303256,-0.001561321544158556,0.4466340237504751,0.43750636441969704,0.009127659330778082,0.24945295305747073,0.25099820302811837,-0.0015452499706476441,3.5053561101311814,3.5011672103878126,-0.11949997694277108,0.7112583518028259,0.7121703028678894,0.12821657035758596
morse · mlp · distill to simple,5001,late,0.0,42,300049,0.0,0.25,0.34633669758616703,0.34924269164610366,-0.002905994059936634,0.4466340237504751,0.4142581421093683,0.03237588164110683,0.24945295305747073,0.2554486374767472,-0.005995684419276448,3.5053561101311814,3.4975555415322095,-0.22253284270966733,0.7112583518028259,0.7173044085502625,0.8500507209668032
morse · mlp · distill to simple,2247,late,0.0,42,300049,0.0,0.0,0.8429225467223752,0.8429225467223752,0.0,0.8399395986306626,0.8399395986306626,0.0,0.7409468939863961,0.7409468939863961,0.0,0.840627861025922,0.840627861025922,0.0,0.08378729224205017,0.08378729224205017,0.0
morse · mlp · distill to simple,2247,late,0.0,42,300049,0.0,0.1,0.8429225467223752,0.8422217066348536,0.0007008400875215814,0.8399395986306626,0.8392876756208323,0.0006519230098303019,0.7409468939863961,0.7411637496695528,-0.00021685568315665815,0.840627861025922,0.8425011088994501,0.22283913731361393,0.08378729224205017,0.08434225618839264,0.6623485871094299
morse · mlp · distill to simple,2247,late,0.0,42,300049,0.0,0.25,0.8429225467223752,0.8359557693271068,0.006966777395268409,0.8399395986306626,0.835489142806489,0.0044504558241735825,0.7409468939863961,0.7434213295800509,-0.002474435593654789,0.840627861025922,0.8590675898574204,2.1935662242974057,0.08378729224205017,0.09107167273759842,8.693896533265042
morse · mlp · distill to simple,4022,late,0.0,42,300049,0.0,0.0,0.3374435437735769,0.3374435437735769,0.0,0.30407684986273253,0.30407684986273253,0.0,0.3227877408690639,0.3227877408690639,0.0,3.1304389282506624,3.1304389282506624,0.0,0.1986459344625473,0.1986459344625473,0.0
morse · mlp · distill to simple,4022,late,0.0,42,300049,0.0,0.1,0.3374435437735769,0.3320589893647031,0.005384554408873754,0.30407684986273253,0.30612647619014755,-0.0020496263274150106,0.3227877408690639,0.32130399897702144,0.0014837418920424783,3.1304389282506624,3.143133627761764,0.4055245862341639,0.1986459344625473,0.20246495306491852,1.9225254283224475
morse · mlp · distill to simple,4022,late,0.0,42,300049,0.0,0.25,0.3374435437735769,0.3192576049087281,0.01818593886484876,0.30407684986273253,0.30831854957590765,-0.004241699713175118,0.3227877408690639,0.31856518338171236,0.004222557487351564,3.1304389282506624,3.1731104517089266,1.363116305294277,0.1986459344625473,0.2141517996788025,7.805780298603928
morse · mlp · distill to simple,4023,late,0.0,42,300049,0.0,0.0,0.5038589143529522,0.5038589143529522,0.0,0.40333484899655014,0.40333484899655014,0.0,0.4845858203929341,0.4845858203929341,0.0,2.266604368140898,2.266604368140898,0.0,0.20487646758556366,0.20487646758556366,0.0
morse · mlp · distill to simple,4023,late,0.0,42,300049,0.0,0.1,0.5038589143529522,0.5034410041168498,0.0004179102361023812,0.40333484899655014,0.40106802131766073,0.002266827678889416,0.4845858203929341,0.4850654497884749,-0.00047962939554080375,2.266604368140898,2.2675587718462915,0.04210720312766786,0.20487646758556366,0.20567427575588226,0.389409374205171
morse · mlp · distill to simple,4023,late,0.0,42,300049,0.0,0.25,0.5038589143529522,0.5035726091631908,0.00028630518976136,0.40333484899655014,0.39109026059253615,0.01224458840401399,0.4845858203929341,0.48976093504276674,-0.005175114649832668,2.266604368140898,2.267258261780665,0.02884904171889708,0.20487646758556366,0.20883360505104065,1.9314748600028206
