label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
learned · fourier→pinnmamba · joint baseline,2109,late,0.0,42,300049,0.0,0.1,0.8348245970194927,0.8347911672305582,3.342978893450255e-05,0.8621980423291367,0.869270773712256,-0.007072731383119368,0.8746214906617142,0.8771455871620669,-0.0025240965003526794,1.4704570818916531,1.4706058769968238,0.01011896960496212,0.18287768959999084,0.18531960248947144,1.3352710737005686
learned · fourier→pinnmamba · joint baseline,2109,late,0.0,42,300049,0.0,0.25,0.8348245970194927,0.8265121508220747,0.008312446197418,0.8621980423291367,0.8564921610574593,0.005705881271677371,0.8746214906617142,0.878079443219033,-0.003457952557318733,1.4704570818916531,1.50700327885875,2.4853630491603584,0.18287768959999084,0.19631066918373108,7.345335351251565
learned · fourier→pinnmamba · joint baseline,2011,late,0.0,42,300049,0.0,0.0,0.8894233137919095,0.8894233137919095,0.0,0.9472693920180294,0.9472693920180294,0.0,0.8711723886764864,0.8711723886764864,0.0,0.6616585231472918,0.6616585231472918,0.0,0.4480889141559601,0.4480889141559601,0.0
learned · fourier→pinnmamba · joint baseline,2011,late,0.0,42,300049,0.0,0.1,0.8894233137919095,0.8864673468210409,0.00295596697086864,0.9472693920180294,0.9440772824664269,0.00319210955160254,0.8711723886764864,0.8679782254389061,0.003194163237580261,0.6616585231472918,0.6704440168620158,1.3277987673965619,0.4480889141559601,0.45132437348365784,0.7220574367014205
learned · fourier→pinnmamba · joint baseline,2011,late,0.0,42,300049,0.0,0.25,0.8894233137919095,0.8726339389890617,0.016789374802847812,0.9472693920180294,0.9283068843986073,0.018962507619422087,0.8711723886764864,0.8600194588682395,0.011152929808246892,0.6616585231472918,0.7101154876902633,7.323560847138751,0.4480889141559601,0.4619850814342499,3.1012075593222885
learned · fourier→pinnmamba · joint baseline,2126,late,0.0,42,300049,0.0,0.0,0.574732942334359,0.574732942334359,0.0,0.7199439186375286,0.7199439186375286,0.0,0.7641560824813571,0.7641560824813571,0.0,1.1267022378906597,1.1267022378906597,0.0,0.27958622574806213,0.27958622574806213,0.0
learned · fourier→pinnmamba · joint baseline,2126,late,0.0,42,300049,0.0,0.1,0.574732942334359,0.548909631910664,0.02582331042369501,0.7199439186375286,0.7174840976747298,0.002459820962798842,0.7641560824813571,0.745870812512251,0.018285269969106177,1.1267022378906597,1.1604062591481048,2.9913867323582863,0.27958622574806213,0.3036101758480072,8.592680142115901
learned · fourier→pinnmamba · joint baseline,2126,late,0.0,42,300049,0.0,0.25,0.574732942334359,0.5224554526645497,0.052277489669809274,0.7199439186375286,0.6488571428943795,0.07108677574314914,0.7641560824813571,0.7254148271420526,0.0387412553393045,1.1267022378906597,1.1939475014273102,5.968326082545359,0.27958622574806213,0.35475602746009827,26.886089080716147
learned · fourier→pinnmamba · joint baseline,5001,late,0.0,42,300049,0.0,0.0,-2.0403906422921256,-2.0403906422921256,0.0,-3.3824163767135067,-3.3824163767135067,0.0,-1.333105584071704,-1.333105584071704,0.0,7.559965026042024,7.559965026042024,0.0,6.404166221618652,6.404166221618652,0.0
learned · fourier→pinnmamba · joint baseline,5001,late,0.0,42,300049,0.0,0.1,-2.0403906422921256,-2.0767297158177316,0.03633907352560595,-3.3824163767135067,-3.486455758477523,0.10403938176401617,-1.333105584071704,-1.3620517745863028,0.02894619051459868,7.559965026042024,7.605009585998378,0.5958302690711899,6.404166221618652,6.4897050857543945,1.3356752647516736
